年月日	時刻	ユーザコード	処理内容
2016/02/09	15:54:54	7	User clicks on a layer
2016/02/09	16:07:36	7	User clicks on a layer
2016/02/09	16:07:43	7	User opens initial screen
2016/02/09	16:09:25	7	User opens initial screen
2016/02/09	17:41:50	7	User login to application
2016/02/09	17:41:50	7	User opens initial screen
2016/02/09	17:49:09	7	User logout
2016/02/09	17:49:11	NULL	User doesn't agree with term of use
2016/02/09	17:49:11	158	Guest login to application
2016/02/09	19:26:38	158	User agrees with term of use
2016/02/09	19:26:38	158	User opens initial screen
2016/02/09	20:37:58	158	User opens initial screen
2016/02/09	20:41:37	158	User opens initial screen
2016/02/09	20:41:51	158	User logout
