年月日	時刻	ユーザコード	処理内容
2016/03/04	09:28:36	7	User login to application
2016/03/04	09:28:36	7	User opens initial screen
2016/03/04	09:28:38	7	User clicks on a layer
2016/03/04	09:31:39	7	User login to application
2016/03/04	09:31:39	7	User opens initial screen
2016/03/04	09:31:43	7	User clicks on a layer
2016/03/04	09:32:23	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	09:32:23	7	User clicks on a layer
2016/03/04	09:32:40	7	Specify condition to create fertilizer map
2016/03/04	09:32:43	7	Open specified screen to create conditions for fertilizer map 
2016/03/04	09:34:53	7	User login to application
2016/03/04	09:34:53	7	User opens initial screen
2016/03/04	09:34:57	7	User clicks on a layer
2016/03/04	09:35:14	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	09:35:14	7	User clicks on a layer
2016/03/04	09:35:26	7	Specify condition to create fertilizer map
2016/03/04	09:35:28	7	Open specified screen to create conditions for fertilizer map 
2016/03/04	09:35:36	7	User logout
2016/03/04	09:35:41	7	User login to application
2016/03/04	09:35:42	7	User opens initial screen
2016/03/04	09:35:45	7	User clicks on a layer
2016/03/04	09:36:17	7	User opens initial screen
2016/03/04	09:36:18	7	User clicks on a layer
2016/03/04	09:38:10	7	User clicks on a layer
2016/03/04	09:38:13	7	User clicks on a layer
2016/03/04	09:40:38	7	User opens initial screen
2016/03/04	09:40:43	7	User clicks on a layer
2016/03/04	17:00:33	7	User login to application
2016/03/04	17:00:35	7	User opens initial screen
2016/03/04	17:00:38	7	User clicks on a layer
2016/03/04	17:00:59	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	17:00:59	7	User clicks on a layer
2016/03/04	17:01:19	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	17:01:19	7	User clicks on a layer
2016/03/04	17:01:34	7	User login to application
2016/03/04	17:01:34	7	User opens initial screen
2016/03/04	17:01:36	7	User clicks on a layer
2016/03/04	17:01:44	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	17:01:44	7	User clicks on a layer
2016/03/04	17:02:00	7	Specify condition to create fertilizer map
2016/03/04	17:02:05	7	Open specified screen to create conditions for fertilizer map 
2016/03/04	17:04:07	7	User login to application
2016/03/04	17:04:07	7	User opens initial screen
2016/03/04	17:04:11	7	User clicks on a layer
2016/03/04	17:04:37	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	17:04:37	7	User clicks on a layer
2016/03/04	17:05:26	7	Specify condition to create fertilizer map
2016/03/04	17:06:23	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/04	17:06:23	7	User clicks on a layer
2016/03/04	17:06:46	7	Specify condition to create fertilizer map
2016/03/04	21:24:04	7	User login to application
2016/03/04	21:24:04	7	User opens initial screen
2016/03/04	21:24:06	7	User clicks on a layer
2016/03/04	21:24:15	7	User clicks on a layer
2016/03/04	21:24:16	7	User clicks on a layer
2016/03/04	21:24:18	7	User clicks on a layer
2016/03/04	21:24:28	7	User logout
