年月日	時刻	ユーザコード	処理内容
2016/02/19	09:07:12	7	User login to application
2016/02/19	09:07:12	7	User opens initial screen
2016/02/19	09:07:16	7	User clicks on a layer
2016/02/19	09:07:22	7	User clicks on a layer
2016/02/19	09:07:23	7	User clicks on a layer
2016/02/19	09:07:24	7	User clicks on a layer
2016/02/19	09:07:25	7	User clicks on a layer
2016/02/19	09:07:45	7	User clicks on a layer
2016/02/19	13:12:33	7	User login to application
2016/02/19	13:12:33	7	User opens initial screen
2016/02/19	13:12:35	7	User clicks on a layer
2016/02/19	15:20:10	280	User login to application
2016/02/19	15:20:10	280	User opens initial screen
2016/02/19	15:20:12	280	User clicks on a layer
2016/02/19	15:20:34	280	User clicks on a layer
2016/02/19	15:21:08	280	User selects mode ALL and open form to create new a fertilizer map
2016/02/19	15:21:08	280	User clicks on a layer
2016/02/19	15:21:20	280	Specify condition to create fertilizer map
2016/02/19	15:29:51	280	User selects mode ALL and open form to create new a fertilizer map
2016/02/19	15:29:52	280	User clicks on a layer
2016/02/19	15:29:57	280	Specify condition to create fertilizer map
2016/02/19	16:22:49	7	User login to application
2016/02/19	16:22:49	7	User opens initial screen
2016/02/19	16:22:50	7	User clicks on a layer
