年月日	時刻	ユーザコード	処理内容

2015/09/22	01:56:03	12	User login to application
2015/09/22	01:56:04	12	User opens initial screen
2015/09/22	01:56:09	12	User clicks on a layer
2015/09/22	02:51:36	12	User opens initial screen
2015/09/22	02:51:37	12	User opens initial screen
2015/09/22	02:51:46	12	User clicks on a layer
2015/09/22	02:55:29	12	User logout
2015/09/22	02:56:05	12	User login to application
2015/09/22	02:56:07	12	User opens initial screen
2015/09/22	02:56:12	12	User clicks on a layer
2015/09/22	04:02:05	12	User opens initial screen
2015/09/22	04:02:13	12	User clicks on a layer
2015/09/22	04:12:24	12	User opens initial screen
2015/09/22	04:12:32	12	User clicks on a layer
2015/09/22	04:24:57	12	User opens initial screen
2015/09/22	04:26:14	12	User logout
2015/09/22	04:26:20	NULL	User doesn't agree with term of use
2015/09/22	04:26:20	127	Guest login to application
2015/09/22	04:26:21	127	User doesn't agree with term of use
2015/09/22	04:26:21	127	Guest login to application
2015/09/22	04:26:22	127	User doesn't agree with term of use
2015/09/22	04:26:22	127	Guest login to application
2015/09/22	04:26:45	127	User agrees with term of use
2015/09/22	04:26:46	127	User opens initial screen
2015/09/22	04:28:49	127	User opens initial screen
2015/09/22	04:28:57	127	User clicks on a layer
2015/09/22	04:29:08	127	User opens initial screen
2015/09/22	04:30:27	127	User opens initial screen
2015/09/22	04:31:46	127	User opens initial screen
2015/09/22	04:40:38	127	User opens initial screen
2015/09/22	04:49:13	127	User opens initial screen
2015/09/22	04:49:20	127	User clicks on a layer
2015/09/22	04:49:26	127	User clicks on a layer
2015/09/22	04:49:48	127	User opens initial screen
2015/09/22	04:49:55	127	User clicks on a layer
2015/09/22	04:52:52	127	User opens initial screen
2015/09/22	04:53:01	127	User clicks on a layer
2015/09/22	04:53:58	127	User opens initial screen
2015/09/22	04:54:06	127	User clicks on a layer
2015/09/22	05:01:05	127	User opens initial screen
2015/09/22	05:01:36	127	User opens initial screen
2015/09/22	05:01:44	127	User clicks on a layer
2015/09/22	05:04:31	127	User opens initial screen
2015/09/22	05:04:39	127	User clicks on a layer
2015/09/22	05:04:53	127	User clicks on a layer
2015/09/22	06:04:04	127	User clicks on a layer
2015/09/22	06:04:20	127	User logout
2015/09/22	06:04:51	43	User login to application
2015/09/22	06:04:52	43	User opens initial screen
2015/09/22	06:04:59	43	User clicks on a layer
2015/09/22	06:09:49	43	User login to application
2015/09/22	06:09:51	43	User opens initial screen
2015/09/22	06:09:57	43	User clicks on a layer
2015/09/22	06:11:15	43	User login to application
2015/09/22	06:11:17	43	User opens initial screen
2015/09/22	06:11:22	43	User clicks on a layer
