年月日	時刻	ユーザコード	処理内容
2016/02/18	08:56:17	7	User login to application
2016/02/18	08:56:17	7	User opens initial screen
2016/02/18	08:56:20	7	User clicks on a layer
2016/02/18	08:56:23	7	User clicks on a layer
2016/02/18	08:56:24	7	User clicks on a layer
2016/02/18	10:19:42	7	User clicks on a layer
2016/02/18	10:19:45	7	User opens initial screen
2016/02/18	10:19:46	7	User clicks on a layer
2016/02/18	10:19:54	7	User opens initial screen
2016/02/18	10:19:56	7	User clicks on a layer
2016/02/18	10:22:33	7	User opens initial screen
2016/02/18	10:22:35	7	User clicks on a layer
2016/02/18	10:22:38	7	User clicks on a layer
2016/02/18	10:22:41	7	User clicks on a layer
2016/02/18	10:22:53	7	User logout
2016/02/18	10:23:11	7	User login to application
2016/02/18	10:23:11	7	User opens initial screen
2016/02/18	10:23:13	7	User clicks on a layer
2016/02/18	11:06:12	7	User clicks on a layer
2016/02/18	11:06:13	7	User clicks on a layer
2016/02/18	11:42:15	7	User clicks on a layer
2016/02/18	11:42:17	7	User clicks on a layer
2016/02/18	11:42:18	7	User clicks on a layer
2016/02/18	20:22:41	7	User login to application
2016/02/18	20:22:41	7	User opens initial screen
2016/02/18	20:22:43	7	User clicks on a layer
2016/02/18	20:22:45	7	User clicks on a layer
2016/02/18	20:22:48	7	User logout
2016/02/18	20:30:04	7	User login to application
2016/02/18	20:30:04	7	User opens initial screen
2016/02/18	20:30:07	7	User clicks on a layer
2016/02/18	20:30:15	7	User clicks on a layer
2016/02/18	20:30:18	7	User clicks on a layer
2016/02/18	20:30:20	7	User clicks on a layer
2016/02/18	22:22:28	7	User opens initial screen
2016/02/18	22:22:34	7	User clicks on a layer
2016/02/18	22:22:39	7	User clicks on a layer
2016/02/18	22:22:53	7	User selects mode ALL and open form to create new a fertilizer map
2016/02/18	22:22:53	7	User clicks on a layer
2016/02/18	22:23:01	7	Specify condition to create fertilizer map
2016/02/18	22:23:03	7	Open specified screen to create conditions for fertilizer map 
2016/02/18	22:23:38	7	Create new a layer
2016/02/18	22:23:39	7	Specify condition to create fertilizer map
2016/02/18	22:23:41	7	User clicks on a layer
