年月日	時刻	ユーザコード	処理内容
2016/02/05	12:12:19	278	User login to application
2016/02/05	12:12:20	278	User opens initial screen
2016/02/05	12:22:41	278	User opens initial screen
2016/02/05	12:25:26	7	User login to application
2016/02/05	12:25:26	7	User opens initial screen
2016/02/05	12:26:39	278	User clicks on a layer
2016/02/05	12:26:40	278	User opens initial screen
2016/02/05	12:26:45	7	User clicks on a layer
2016/02/05	12:26:50	7	User clicks on a layer
2016/02/05	12:26:53	7	User clicks on a layer
2016/02/05	12:27:06	278	User opens initial screen
2016/02/05	12:27:10	278	User clicks on a layer
2016/02/05	12:27:25	278	User clicks on a layer
2016/02/05	12:27:29	278	User clicks on a layer
2016/02/05	12:27:42	278	User clicks on a layer
2016/02/05	12:29:23	278	User opens initial screen
2016/02/05	12:30:03	278	User clicks on a layer
2016/02/05	12:33:30	7	User opens initial screen
2016/02/05	12:33:32	7	User clicks on a layer
2016/02/05	12:33:33	7	User clicks on a layer
2016/02/05	12:33:34	7	User clicks on a layer
2016/02/05	12:36:35	7	User clicks on a layer
2016/02/05	12:36:38	7	User clicks on a layer
2016/02/05	12:37:19	7	User login to application
2016/02/05	12:37:19	7	User opens initial screen
2016/02/05	12:37:21	7	User clicks on a layer
2016/02/05	12:37:30	7	User clicks on a layer
2016/02/05	12:37:34	7	User clicks on a layer
2016/02/05	12:37:36	7	User clicks on a layer
2016/02/05	12:37:48	7	User clicks on a layer
2016/02/05	12:38:16	7	User clicks on a layer
2016/02/05	12:38:18	7	User clicks on a layer
2016/02/05	12:38:19	278	User opens initial screen
2016/02/05	12:38:23	278	User clicks on a layer
2016/02/05	12:38:28	278	User clicks on a layer
2016/02/05	12:38:30	7	User clicks on a layer
2016/02/05	12:38:31	278	User clicks on a layer
2016/02/05	12:38:35	278	User clicks on a layer
2016/02/05	12:38:57	278	User opens initial screen
2016/02/05	12:43:53	7	User clicks on a layer
2016/02/05	12:50:07	278	User clicks on a layer
2016/02/05	12:50:09	278	User opens initial screen
2016/02/05	12:50:27	278	User opens initial screen
2016/02/05	12:50:31	278	User clicks on a layer
2016/02/05	12:50:40	278	User clicks on a layer
2016/02/05	12:50:43	278	User clicks on a layer
2016/02/05	12:58:03	278	User opens initial screen
2016/02/05	12:59:23	7	User opens initial screen
2016/02/05	12:59:23	7	User clicks on a layer
2016/02/05	12:59:28	7	User clicks on a layer
2016/02/05	12:59:29	7	User clicks on a layer
2016/02/05	12:59:31	7	User clicks on a layer
2016/02/05	12:59:33	7	User logout
2016/02/05	12:59:58	7	User login to application
2016/02/05	12:59:58	7	User opens initial screen
2016/02/05	13:00:06	7	User clicks on a layer
2016/02/05	13:00:44	278	User clicks on a layer
2016/02/05	13:00:49	278	User clicks on a layer
2016/02/05	13:00:51	7	User clicks on a layer
2016/02/05	13:00:53	7	User clicks on a layer
2016/02/05	13:00:57	7	User clicks on a layer
2016/02/05	13:01:02	7	User clicks on a layer
2016/02/05	13:01:05	7	User clicks on a layer
2016/02/05	13:01:07	7	User clicks on a layer
2016/02/05	13:03:20	7	User clicks on a layer
2016/02/05	13:03:31	7	User clicks on a layer
2016/02/05	13:03:33	7	User clicks on a layer
2016/02/05	13:03:44	278	User login to application
2016/02/05	13:03:44	278	User opens initial screen
2016/02/05	13:03:50	278	User clicks on a layer
2016/02/05	13:04:01	278	User clicks on a layer
2016/02/05	13:04:10	278	User clicks on a layer
2016/02/05	13:06:08	7	User clicks on a layer
2016/02/05	13:06:10	7	User clicks on a layer
2016/02/05	13:06:13	7	User clicks on a layer
2016/02/05	13:06:19	7	User clicks on a layer
2016/02/05	13:06:20	7	User clicks on a layer
2016/02/05	13:06:30	7	User clicks on a layer
2016/02/05	13:06:31	7	User clicks on a layer
2016/02/05	13:06:33	7	User clicks on a layer
2016/02/05	13:06:49	7	User clicks on a layer
2016/02/05	13:06:52	7	User clicks on a layer
2016/02/05	13:06:54	7	User clicks on a layer
2016/02/05	13:06:55	7	User clicks on a layer
2016/02/05	13:06:58	278	Upload a fertility map
2016/02/05	13:07:02	7	User clicks on a layer
2016/02/05	13:07:04	278	User opens initial screen
2016/02/05	13:07:04	7	User clicks on a layer
2016/02/05	13:07:13	278	User clicks on a layer
2016/02/05	13:07:35	278	User selects mode ALL and open form to create new a fertilizer map
2016/02/05	13:07:35	278	User clicks on a layer
2016/02/05	13:07:55	278	User clicks on a layer
2016/02/05	13:07:55	278	User selects mode ALL and open form to create new a fertilizer map
2016/02/05	13:08:37	278	User clicks on a layer
2016/02/05	13:08:47	278	Update layer
2016/02/05	13:08:49	278	User opens initial screen
2016/02/05	13:08:54	278	User clicks on a layer
2016/02/05	13:08:59	278	User selects mode ALL and open form to create new a fertilizer map
2016/02/05	13:08:59	278	User clicks on a layer
2016/02/05	13:09:07	278	User selects mode ALL and open form to create new a fertilizer map
2016/02/05	13:09:07	278	User clicks on a layer
2016/02/05	13:31:42	7	User clicks on a layer
2016/02/05	13:31:46	7	User clicks on a layer
2016/02/05	13:31:48	7	User clicks on a layer
2016/02/05	13:31:50	7	User clicks on a layer
2016/02/05	13:32:58	278	User opens initial screen
2016/02/05	13:33:44	278	User opens initial screen
2016/02/05	13:37:01	278	User opens initial screen
2016/02/05	13:37:05	278	User clicks on a layer
2016/02/05	13:37:13	278	User selects mode ALL and open form to create new a fertilizer map
2016/02/05	13:37:13	278	User clicks on a layer
2016/02/05	13:37:19	278	Specify condition to create fertilizer map
2016/02/05	13:37:22	278	Open specified screen to create conditions for fertilizer map 
2016/02/05	13:40:26	7	User opens initial screen
2016/02/05	13:40:32	7	User clicks on a layer
2016/02/05	13:41:57	7	User clicks on a layer
2016/02/05	13:41:59	7	User clicks on a layer
2016/02/05	13:42:00	7	User clicks on a layer
2016/02/05	13:42:08	7	User clicks on a layer
2016/02/05	13:42:09	7	User clicks on a layer
2016/02/05	13:43:20	7	User selects mode ALL and open form to create new a fertilizer map
2016/02/05	13:43:20	7	User clicks on a layer
2016/02/05	13:43:29	7	Specify condition to create fertilizer map
2016/02/05	13:43:33	7	Open specified screen to create conditions for fertilizer map 
2016/02/05	13:44:28	7	Create new a layer
2016/02/05	13:44:28	7	Specify condition to create fertilizer map
2016/02/05	13:44:33	7	User clicks on a layer
2016/02/05	13:44:35	7	User clicks on a layer
2016/02/05	13:44:35	7	User clicks on a layer
2016/02/05	13:44:36	7	User clicks on a layer
2016/02/05	13:44:37	7	User clicks on a layer
2016/02/05	13:44:39	7	User clicks on a layer
2016/02/05	13:44:53	7	User clicks on a layer
2016/02/05	13:44:55	7	User clicks on a layer
2016/02/05	13:45:05	7	User clicks on a layer
2016/02/05	13:45:07	7	User clicks on a layer
2016/02/05	13:45:09	7	User clicks on a layer
2016/02/05	13:46:40	7	User clicks on a layer
2016/02/05	13:46:41	7	User clicks on a layer
2016/02/05	13:46:42	7	User clicks on a layer
2016/02/05	13:46:48	7	User clicks on a layer
2016/02/05	13:46:49	7	User clicks on a layer
2016/02/05	13:46:51	7	User clicks on a layer
2016/02/05	13:46:52	7	User clicks on a layer
2016/02/05	13:46:59	7	User logout
2016/02/05	13:47:44	7	User login to application
2016/02/05	13:47:44	7	User opens initial screen
2016/02/05	13:47:45	7	User clicks on a layer
2016/02/05	13:47:49	7	User clicks on a layer
2016/02/05	13:47:53	7	User clicks on a layer
2016/02/05	13:47:58	7	User clicks on a layer
2016/02/05	13:47:59	7	User clicks on a layer
2016/02/05	13:48:02	7	User clicks on a layer
2016/02/05	13:48:03	7	User clicks on a layer
2016/02/05	13:51:05	7	User clicks on a layer
2016/02/05	13:51:07	7	User clicks on a layer
2016/02/05	15:32:12	7	User clicks on a layer
2016/02/05	15:32:13	7	User clicks on a layer
2016/02/05	15:32:15	7	User clicks on a layer
2016/02/05	15:32:17	7	User clicks on a layer
2016/02/05	15:32:20	7	User clicks on a layer
2016/02/05	15:32:24	7	User clicks on a layer
2016/02/05	15:32:29	7	User clicks on a layer
2016/02/05	15:32:35	7	User clicks on a layer
2016/02/05	15:32:41	7	User clicks on a layer
2016/02/05	15:32:41	7	User clicks on a layer
2016/02/05	15:32:45	7	User clicks on a layer
2016/02/05	15:32:47	7	User clicks on a layer
2016/02/05	15:32:49	7	User clicks on a layer
2016/02/05	15:36:02	7	User clicks on a layer
2016/02/05	15:36:04	7	User clicks on a layer
2016/02/05	15:36:15	7	User clicks on a layer
2016/02/05	15:36:16	7	User clicks on a layer
2016/02/05	15:40:06	7	User clicks on a layer
2016/02/05	15:40:07	7	User clicks on a layer
2016/02/05	15:40:12	7	User clicks on a layer
2016/02/05	15:40:14	7	User clicks on a layer
2016/02/05	15:40:17	278	User login to application
2016/02/05	15:40:17	278	User opens initial screen
2016/02/05	15:40:20	278	User clicks on a layer
2016/02/05	15:40:21	7	User clicks on a layer
2016/02/05	15:40:23	278	User clicks on a layer
2016/02/05	15:40:24	7	User clicks on a layer
2016/02/05	15:40:29	7	User clicks on a layer
2016/02/05	15:40:31	7	User clicks on a layer
2016/02/05	15:40:34	7	User clicks on a layer
2016/02/05	15:40:55	7	User opens initial screen
2016/02/05	15:41:39	278	User clicks on a layer
2016/02/05	15:41:56	7	User clicks on a layer
2016/02/05	15:41:58	7	User clicks on a layer
2016/02/05	15:42:02	7	User clicks on a layer
2016/02/05	15:42:14	7	User clicks on a layer
2016/02/05	15:42:18	7	User clicks on a layer
2016/02/05	15:42:19	7	User clicks on a layer
2016/02/05	15:44:15	278	User clicks on a layer
2016/02/05	15:44:38	278	User opens initial screen
2016/02/05	16:33:44	NULL	User doesn't agree with term of use
2016/02/05	16:33:44	158	Guest login to application
2016/02/05	16:33:46	158	User agrees with term of use
2016/02/05	16:33:47	158	User opens initial screen
2016/02/05	16:34:56	158	User opens initial screen
2016/02/05	16:35:01	158	User opens initial screen
2016/02/05	16:35:08	158	User logout
2016/02/05	16:35:37	7	User login to application
2016/02/05	16:35:37	7	User opens initial screen
2016/02/05	16:36:55	7	User opens initial screen
2016/02/05	16:37:04	7	User logout
2016/02/05	16:43:17	278	User opens initial screen
2016/02/05	16:46:09	7	User clicks on a layer
2016/02/05	16:46:13	7	User clicks on a layer
2016/02/05	16:46:19	278	User clicks on a layer
2016/02/05	16:46:30	7	User opens initial screen
2016/02/05	16:46:41	7	User clicks on a layer
2016/02/05	16:46:42	7	User clicks on a layer
2016/02/05	16:47:32	7	User clicks on a layer
2016/02/05	16:47:33	7	User clicks on a layer
2016/02/05	16:49:25	7	User clicks on a layer
2016/02/05	16:49:31	7	User clicks on a layer
2016/02/05	16:49:32	7	User clicks on a layer
2016/02/05	16:49:36	7	User clicks on a layer
2016/02/05	16:49:50	7	User clicks on a layer
2016/02/05	16:49:59	7	User clicks on a layer
2016/02/05	16:50:09	7	User clicks on a layer
2016/02/05	16:50:11	7	User clicks on a layer
2016/02/05	16:50:14	7	User clicks on a layer
2016/02/05	16:50:15	7	User clicks on a layer
2016/02/05	16:50:16	7	User clicks on a layer
2016/02/05	16:51:30	7	User login to application
2016/02/05	16:51:31	7	User opens initial screen
2016/02/05	16:51:32	7	User clicks on a layer
2016/02/05	16:51:39	7	User clicks on a layer
2016/02/05	16:51:40	7	User clicks on a layer
2016/02/05	16:51:48	7	User clicks on a layer
2016/02/05	16:51:59	7	User clicks on a layer
2016/02/05	16:52:26	7	User clicks on a layer
2016/02/05	16:52:36	7	User clicks on a layer
2016/02/05	16:52:36	7	User clicks on a layer
2016/02/05	16:52:38	7	User clicks on a layer
2016/02/05	16:52:39	7	User clicks on a layer
2016/02/05	16:53:13	7	User clicks on a layer
2016/02/05	16:53:14	7	User clicks on a layer
2016/02/05	16:55:13	7	User clicks on a layer
2016/02/05	16:55:14	7	User clicks on a layer
2016/02/05	16:55:17	7	User clicks on a layer
2016/02/05	16:56:04	7	User clicks on a layer
2016/02/05	16:56:05	7	User clicks on a layer
2016/02/05	16:56:11	7	User clicks on a layer
2016/02/05	16:56:13	7	User clicks on a layer
2016/02/05	16:56:15	7	User clicks on a layer
2016/02/05	16:56:27	7	User opens initial screen
2016/02/05	16:56:29	7	User clicks on a layer
2016/02/05	16:56:33	7	User clicks on a layer
2016/02/05	16:56:35	7	User clicks on a layer
2016/02/05	16:56:59	7	User clicks on a layer
2016/02/05	16:57:02	7	User clicks on a layer
2016/02/05	16:58:59	278	User opens initial screen
2016/02/05	16:59:03	278	User clicks on a layer
2016/02/05	16:59:08	278	User clicks on a layer
2016/02/05	16:59:57	278	User opens initial screen
2016/02/05	17:00:41	278	User opens initial screen
2016/02/05	17:01:18	278	User opens initial screen
2016/02/05	17:02:07	7	User clicks on a layer
2016/02/05	17:08:43	278	User opens initial screen
2016/02/05	17:09:56	278	User opens initial screen
2016/02/05	17:11:38	278	User opens initial screen
2016/02/05	17:13:07	278	User opens initial screen
2016/02/05	17:15:48	278	User opens initial screen
2016/02/05	17:15:53	7	User clicks on a layer
2016/02/05	17:15:55	7	User clicks on a layer
2016/02/05	17:15:56	7	User clicks on a layer
2016/02/05	17:16:20	7	User clicks on a layer
2016/02/05	17:16:53	7	User clicks on a layer
2016/02/05	17:16:55	7	User clicks on a layer
2016/02/05	17:18:37	7	User clicks on a layer
2016/02/05	17:18:42	7	User clicks on a layer
2016/02/05	17:21:50	7	User clicks on a layer
2016/02/05	17:21:51	7	User clicks on a layer
2016/02/05	17:21:55	7	User clicks on a layer
2016/02/05	17:21:58	7	User clicks on a layer
2016/02/05	17:23:12	7	User clicks on a layer
2016/02/05	17:23:20	7	User clicks on a layer
2016/02/05	17:24:08	278	User opens initial screen
2016/02/05	17:24:25	278	User opens initial screen
2016/02/05	17:26:04	278	User opens initial screen
2016/02/05	17:26:19	278	User opens initial screen
