年月日	時刻	ユーザコード	処理内容
2016/02/05	17:26:45	7	User clicks on a layer
2016/02/05	17:26:47	7	User clicks on a layer
2016/02/05	17:26:50	7	User clicks on a layer
2016/02/05	17:26:52	7	User clicks on a layer
2016/02/05	17:26:54	7	User clicks on a layer
2016/02/05	17:27:12	278	User opens initial screen
2016/02/05	17:28:26	7	User login to application
2016/02/05	17:28:27	7	User opens initial screen
2016/02/05	17:28:47	7	User clicks on a layer
2016/02/05	17:28:49	7	User opens initial screen
2016/02/05	17:29:45	7	User clicks on a layer
2016/02/05	17:29:47	7	User clicks on a layer
2016/02/05	17:29:49	7	User clicks on a layer
2016/02/05	17:29:51	7	User clicks on a layer
2016/02/05	17:29:53	7	User clicks on a layer
2016/02/05	17:30:19	7	User opens initial screen
2016/02/05	17:30:26	7	User clicks on a layer
2016/02/05	17:30:30	7	User clicks on a layer
2016/02/05	17:31:14	7	User clicks on a layer
2016/02/05	17:31:34	7	User clicks on a layer
2016/02/05	17:31:41	7	User clicks on a layer
2016/02/05	17:31:44	7	User clicks on a layer
2016/02/05	17:32:38	7	User clicks on a layer
2016/02/05	17:36:39	7	User login to application
2016/02/05	17:36:39	7	User opens initial screen
2016/02/05	17:37:43	7	User opens initial screen
