年月日	時刻	ユーザコード	処理内容
2016/03/06	04:40:15	NULL	User doesn't agree with term of use
2016/03/06	04:40:15	158	Guest login to application
2016/03/06	12:24:59	7	User login to application
2016/03/06	12:24:59	7	User opens initial screen
2016/03/06	12:25:01	7	User clicks on a layer
2016/03/06	12:25:24	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/06	12:25:24	7	User clicks on a layer
2016/03/06	12:25:43	7	Specify condition to create fertilizer map
2016/03/06	12:26:22	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/06	12:26:22	7	User clicks on a layer
2016/03/06	12:26:37	7	Specify condition to create fertilizer map
2016/03/06	12:26:40	7	Open specified screen to create conditions for fertilizer map 
2016/03/06	12:28:42	7	Create new a layer
2016/03/06	12:28:42	7	Specify condition to create fertilizer map
2016/03/06	12:28:56	7	User clicks on a layer
2016/03/06	12:28:59	7	User clicks on a layer
2016/03/06	12:29:32	7	Update layer information
2016/03/06	12:29:44	7	User logout
2016/03/06	12:38:56	7	User login to application
2016/03/06	12:38:56	7	User opens initial screen
2016/03/06	12:39:00	7	User clicks on a layer
2016/03/06	12:39:40	7	User clicks on a layer
2016/03/06	12:40:03	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/06	12:40:03	7	User clicks on a layer
2016/03/06	12:40:13	7	Specify condition to create fertilizer map
2016/03/06	12:40:19	7	Open specified screen to create conditions for fertilizer map 
2016/03/06	12:41:33	7	Create new a layer
2016/03/06	12:41:33	7	Specify condition to create fertilizer map
2016/03/06	12:42:44	7	User clicks on a layer
2016/03/06	12:42:56	7	User clicks on a layer
