年月日	時刻	ユーザコード	処理内容
2016/03/14	09:13:25	7	User login to application
2016/03/14	09:13:25	7	User opens initial screen
2016/03/14	09:13:31	7	User clicks on a layer
2016/03/14	09:13:33	7	User clicks on a layer
2016/03/14	09:28:02	7	User clicks on a layer
2016/03/14	09:28:06	7	User clicks on a layer
2016/03/14	09:28:27	7	User opens initial screen
2016/03/14	09:28:28	7	User clicks on a layer
2016/03/14	09:29:15	7	Administrator registers a new user
2016/03/14	09:32:00	7	Upload a fertility map
2016/03/14	09:39:16	7	Update layer information
2016/03/14	09:39:23	7	Update layer
2016/03/14	09:39:30	7	User logout
2016/03/14	09:39:40	283	User login to application
2016/03/14	09:39:55	283	User agrees with term of use
2016/03/14	09:39:55	283	User opens initial screen
2016/03/14	09:40:02	283	User clicks on a layer
2016/03/14	09:40:04	283	User clicks on a layer
2016/03/14	09:40:05	283	User clicks on a layer
2016/03/14	09:40:07	283	User clicks on a layer
2016/03/14	09:40:15	283	User clicks on a layer
2016/03/14	09:40:17	283	User clicks on a layer
2016/03/14	09:40:18	283	User clicks on a layer
2016/03/14	09:40:21	283	User clicks on a layer
2016/03/14	09:40:22	283	User clicks on a layer
2016/03/14	09:40:37	283	User clicks on a layer
2016/03/14	09:41:30	283	User logout
2016/03/14	09:41:34	7	User login to application
2016/03/14	09:41:34	7	User opens initial screen
2016/03/14	09:41:35	7	User clicks on a layer
2016/03/14	09:41:37	7	User clicks on a layer
2016/03/14	09:41:38	7	User clicks on a layer
2016/03/14	09:41:45	7	User clicks on a layer
2016/03/14	09:41:49	7	Move layer to bin folder
2016/03/14	09:41:50	7	User clicks on a layer
2016/03/14	09:42:41	7	User clicks on a layer
2016/03/14	09:48:26	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/14	09:48:26	7	User clicks on a layer
2016/03/14	09:48:45	7	Specify condition to create fertilizer map
2016/03/14	09:48:49	7	Open specified screen to create conditions for fertilizer map 
2016/03/14	10:01:37	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/14	10:01:37	7	User clicks on a layer
2016/03/14	10:01:45	7	Specify condition to create fertilizer map
2016/03/14	10:01:47	7	Open specified screen to create conditions for fertilizer map 
2016/03/14	10:03:58	7	Create new a layer
2016/03/14	10:03:58	7	Specify condition to create fertilizer map
2016/03/14	10:05:07	7	User clicks on a layer
2016/03/14	10:05:09	7	User clicks on a layer
2016/03/14	10:05:11	7	User clicks on a layer
2016/03/14	10:05:12	7	User clicks on a layer
2016/03/14	10:05:20	7	Specify condition to create fertilizer map
2016/03/14	10:05:24	7	User clicks on a layer
2016/03/14	10:05:26	7	User clicks on a layer
2016/03/14	10:05:28	7	User clicks on a layer
2016/03/14	10:05:33	7	User clicks on a layer
2016/03/14	10:05:36	7	User clicks on a layer
2016/03/14	10:05:38	7	User clicks on a layer
2016/03/14	10:05:40	7	User clicks on a layer
2016/03/14	10:05:46	7	View properties of fertilizer map
2016/03/14	10:06:04	7	User exports fertilizer map to PDF file
2016/03/14	10:06:14	7	User opens initial screen
2016/03/14	10:06:16	7	User clicks on a layer
2016/03/14	10:07:09	7	User clicks on a layer
2016/03/14	10:13:03	7	User exports fertilizer map to PDF file
2016/03/14	10:13:13	7	User opens initial screen
2016/03/14	10:13:15	7	User clicks on a layer
2016/03/14	10:13:18	7	User exports fertilizer map to PDF file
2016/03/14	10:40:18	7	User login to application
2016/03/14	10:40:18	7	User opens initial screen
2016/03/14	10:40:22	7	User clicks on a layer
2016/03/14	10:40:28	7	User clicks on a layer
2016/03/14	10:40:31	7	User clicks on a layer
2016/03/14	10:40:34	7	User clicks on a layer
2016/03/14	10:40:35	7	User clicks on a layer
2016/03/14	10:40:37	7	User clicks on a layer
2016/03/14	10:40:38	7	User clicks on a layer
2016/03/14	10:40:40	7	User clicks on a layer
2016/03/14	10:40:43	7	User clicks on a layer
2016/03/14	10:40:44	7	User clicks on a layer
2016/03/14	10:40:46	7	User clicks on a layer
2016/03/14	10:41:06	7	User clicks on a layer
2016/03/14	10:41:58	7	User clicks on a layer
2016/03/14	10:42:01	7	User exports fertilizer map to PDF file
2016/03/14	10:43:12	7	User opens initial screen
2016/03/14	10:43:14	7	User clicks on a layer
2016/03/14	10:43:17	7	User clicks on a layer
2016/03/14	10:43:22	7	User clicks on a layer
2016/03/14	10:43:24	7	User clicks on a layer
2016/03/14	10:43:31	7	User exports fertilizer map to PDF file
2016/03/14	10:43:47	7	User opens initial screen
2016/03/14	10:43:48	7	User clicks on a layer
2016/03/14	10:56:06	7	User opens initial screen
2016/03/14	10:56:07	7	User clicks on a layer
2016/03/14	10:56:12	7	User clicks on a layer
2016/03/14	10:56:17	7	User clicks on a layer
2016/03/14	10:56:42	7	User clicks on a layer
2016/03/14	10:56:43	7	User clicks on a layer
2016/03/14	10:56:46	7	User opens initial screen
2016/03/14	10:56:47	7	User clicks on a layer
2016/03/14	10:58:04	7	User clicks on a layer
2016/03/14	10:58:17	7	User clicks on a layer
2016/03/14	10:58:26	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/14	10:58:26	7	User clicks on a layer
2016/03/14	10:58:43	7	Specify condition to create fertilizer map
2016/03/14	10:58:48	7	Open specified screen to create conditions for fertilizer map 
2016/03/14	10:59:09	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/14	10:59:09	7	User clicks on a layer
2016/03/14	10:59:28	7	Specify condition to create fertilizer map
2016/03/14	11:00:28	7	Open specified screen to create conditions for fertilizer map 
2016/03/14	11:01:39	7	User updates fertilizer standard
2016/03/14	11:02:27	7	User updates fertilizer standard
2016/03/14	11:02:36	7	User opens initial screen
2016/03/14	11:02:37	7	User clicks on a layer
2016/03/14	11:02:39	7	User clicks on a layer
2016/03/14	11:02:56	7	User selects mode ALL and open form to create new a fertilizer map
2016/03/14	11:02:56	7	User clicks on a layer
2016/03/14	11:03:09	7	Specify condition to create fertilizer map
2016/03/14	11:03:12	7	Open specified screen to create conditions for fertilizer map 
2016/03/14	11:03:37	7	User clicks on a layer
2016/03/14	11:03:44	7	User clicks on a layer
2016/03/14	11:03:58	7	User clicks on a layer
2016/03/14	11:04:02	7	User clicks on a layer
2016/03/14	11:05:13	7	Create new a layer
2016/03/14	11:05:13	7	Specify condition to create fertilizer map
2016/03/14	11:06:21	7	User clicks on a layer
2016/03/14	11:06:25	7	User clicks on a layer
2016/03/14	11:06:26	7	User clicks on a layer
2016/03/14	11:07:44	7	User clicks on a layer
