年月日	時刻	ユーザコード	処理内容

2015/09/21	06:12:27	43	User login to application
2015/09/21	06:12:28	43	User opens initial screen
2015/09/21	06:15:57	43	User clicks on a layer
2015/09/21	06:16:07	43	Specify condition to create fertilizer map
2015/09/21	06:17:54	43	User clicks on a layer
2015/09/21	06:18:20	43	Specify condition to create fertilizer map
2015/09/21	06:32:35	43	User opens initial screen
2015/09/21	06:32:44	43	User clicks on a layer
2015/09/21	06:33:02	43	User clicks on a layer
2015/09/21	06:35:43	43	User opens initial screen
2015/09/21	06:35:49	43	User clicks on a layer
2015/09/21	06:43:01	43	User opens initial screen
2015/09/21	06:43:06	43	User clicks on a layer
2015/09/21	06:43:24	43	User clicks on a layer
2015/09/21	06:45:26	43	User opens initial screen
2015/09/21	06:45:30	43	User clicks on a layer
2015/09/21	06:49:21	43	User opens initial screen
2015/09/21	06:49:26	43	User clicks on a layer
2015/09/21	06:51:55	43	User opens initial screen
2015/09/21	06:51:59	43	User clicks on a layer
2015/09/21	07:05:17	43	User opens initial screen
2015/09/21	07:05:23	43	User clicks on a layer
2015/09/21	07:11:41	43	User opens initial screen
2015/09/21	07:12:06	43	User clicks on a layer
2015/09/21	07:14:06	43	User opens initial screen
2015/09/21	07:14:46	43	User clicks on a layer
2015/09/21	07:16:06	43	User opens initial screen
2015/09/21	07:16:34	43	User clicks on a layer
2015/09/21	07:17:03	43	User opens initial screen
2015/09/21	07:17:08	43	User clicks on a layer
2015/09/21	08:45:32	43	User opens initial screen
2015/09/21	08:45:40	43	User clicks on a layer
2015/09/21	08:48:36	43	User opens initial screen
2015/09/21	08:48:40	43	User clicks on a layer
2015/09/21	08:48:46	43	User clicks on a layer
2015/09/21	08:48:52	43	User clicks on a layer
2015/09/21	08:48:55	43	User clicks on a layer
2015/09/21	08:49:48	43	User opens initial screen
2015/09/21	08:49:55	43	User clicks on a layer
2015/09/21	08:52:27	43	User opens initial screen
2015/09/21	08:52:28	43	User opens initial screen
2015/09/21	08:52:35	43	User clicks on a layer
2015/09/21	08:53:28	43	User clicks on a layer
2015/09/21	08:56:20	43	User clicks on a layer
2015/09/21	08:56:25	43	User logout
2015/09/21	08:56:32	110	User login to application
2015/09/21	08:56:34	110	User opens initial screen
2015/09/21	08:58:42	110	User logout
2015/09/21	08:58:50	12	User login to application
2015/09/21	08:58:52	12	User opens initial screen
2015/09/21	08:58:56	12	User clicks on a layer
2015/09/21	08:59:01	12	User clicks on a layer
2015/09/21	08:59:13	12	User logout
2015/09/21	08:59:19	110	User login to application
2015/09/21	08:59:20	110	User opens initial screen
2015/09/21	08:59:40	110	User logout
2015/09/21	08:59:46	12	User login to application
2015/09/21	08:59:47	12	User opens initial screen
2015/09/21	08:59:51	12	User clicks on a layer
2015/09/21	08:59:55	12	User clicks on a layer
2015/09/21	09:00:00	12	User clicks on a layer
2015/09/21	09:00:11	12	User selects mode ALL and open form to create new a fertilizer map
2015/09/21	09:00:12	12	User clicks on a layer
2015/09/21	09:00:21	12	Specify condition to create fertilizer map
2015/09/21	09:00:27	12	Open specified screen to create conditions for fertilizer map 
2015/09/21	09:00:57	12	Create new a layer
2015/09/21	09:00:57	12	Specify condition to create fertilizer map
2015/09/21	09:01:08	12	User clicks on a layer
2015/09/21	09:01:45	12	User clicks on a layer
2015/09/21	09:01:54	12	User clicks on a layer
2015/09/21	09:05:54	12	Specify condition to create fertilizer map
2015/09/21	09:53:21	12	User clicks on a layer
2015/09/21	09:53:27	12	User opens initial screen
2015/09/21	09:53:38	12	User clicks on a layer
2015/09/21	09:53:42	12	User clicks on a layer
2015/09/21	09:53:49	12	Specify condition to create fertilizer map
2015/09/21	09:58:40	12	Specify condition to create fertilizer map
2015/09/21	10:14:29	12	User saves changing color or volume for fertilizer
2015/09/21	10:15:37	12	User saves changing color or volume for fertilizer
2015/09/21	10:16:13	12	User saves changing color or volume for fertilizer
2015/09/21	10:17:46	12	User saves changing color or volume for fertilizer
2015/09/21	10:19:03	12	User saves changing color or volume for fertilizer
2015/09/21	10:22:22	12	User clicks on a layer
2015/09/21	10:22:23	12	User clicks on a layer
2015/09/21	10:22:26	12	User clicks on a layer
2015/09/21	10:22:33	12	Specify condition to create fertilizer map
2015/09/21	10:22:47	12	User saves changing color or volume for fertilizer
2015/09/21	10:22:58	12	User saves changing color or volume for fertilizer
2015/09/21	10:23:07	12	Specify condition to create fertilizer map
2015/09/21	10:23:19	12	User saves changing color or volume for fertilizer
2015/09/21	10:23:42	12	Specify condition to create fertilizer map
2015/09/21	10:23:55	12	User saves changing color or volume for fertilizer
2015/09/21	10:24:30	12	Specify condition to create fertilizer map
2015/09/21	10:24:43	12	User saves changing color or volume for fertilizer
2015/09/21	10:25:00	12	User saves changing color or volume for fertilizer
2015/09/21	10:25:25	12	User saves changing color or volume for fertilizer
2015/09/21	10:25:52	12	User saves changing color or volume for fertilizer
2015/09/21	10:27:21	12	User saves changing color or volume for fertilizer
2015/09/21	10:27:28	12	User saves changing color or volume for fertilizer
2015/09/21	10:28:08	12	User saves changing color or volume for fertilizer
2015/09/21	10:29:19	12	User saves changing color or volume for fertilizer
2015/09/21	10:29:29	12	User saves changing color or volume for fertilizer
2015/09/21	10:30:28	12	User saves changing color or volume for fertilizer
2015/09/21	10:30:40	12	User saves changing color or volume for fertilizer
2015/09/21	10:31:31	12	User saves changing color or volume for fertilizer
2015/09/21	10:32:16	12	User saves changing color or volume for fertilizer
2015/09/21	10:32:31	12	User saves changing color or volume for fertilizer
2015/09/21	10:32:49	12	User saves changing color or volume for fertilizer
2015/09/21	10:33:17	12	User saves changing color or volume for fertilizer
2015/09/21	10:33:37	12	User saves changing color or volume for fertilizer
2015/09/21	10:33:59	12	User saves changing color or volume for fertilizer
2015/09/21	10:34:07	12	User clicks on a layer
2015/09/21	10:34:10	12	User clicks on a layer
2015/09/21	10:34:12	12	User clicks on a layer
2015/09/21	10:34:14	12	User clicks on a layer
2015/09/21	10:34:17	12	User clicks on a layer
2015/09/21	10:34:19	12	User opens initial screen
2015/09/21	10:34:27	12	User clicks on a layer
2015/09/21	10:34:31	12	User clicks on a layer
2015/09/21	10:34:35	12	User clicks on a layer
