年月日	時刻	ユーザコード	処理内容
2016/02/23	10:27:59	7	User login to application
2016/02/23	10:27:59	7	User opens initial screen
2016/02/23	10:28:04	7	User clicks on a layer
2016/02/23	10:28:21	7	User clicks on a layer
2016/02/23	10:51:55	7	Administrator registers a new user
2016/02/23	10:52:14	7	User logout
2016/02/23	10:52:28	282	User login to application
2016/02/23	10:52:32	282	User agrees with term of use
2016/02/23	10:52:32	282	User opens initial screen
2016/02/23	10:52:50	282	User opens initial screen
2016/02/23	10:52:53	282	User logout
2016/02/23	10:53:07	282	User login to application
2016/02/23	10:53:07	282	User opens initial screen
2016/02/23	10:57:20	280	User login to application
2016/02/23	10:57:21	280	User opens initial screen
2016/02/23	10:57:22	280	User clicks on a layer
2016/02/23	10:59:08	280	Upload a fertility map
2016/02/23	10:59:40	282	User logout
2016/02/23	10:59:48	7	User login to application
2016/02/23	10:59:48	7	User opens initial screen
2016/02/23	10:59:49	7	User clicks on a layer
2016/02/23	11:00:07	280	Upload a fertility map
2016/02/23	11:00:15	280	Update layer
2016/02/23	11:00:23	280	Update layer
2016/02/23	11:00:29	280	User logout
2016/02/23	11:01:51	282	User login to application
2016/02/23	11:01:51	282	User opens initial screen
2016/02/23	11:02:04	282	User clicks on a layer
2016/02/23	11:02:08	282	Update layer information
2016/02/23	11:02:08	282	User clicks on a layer
2016/02/23	11:02:14	282	User opens initial screen
2016/02/23	11:02:15	282	User clicks on a layer
2016/02/23	11:02:21	282	User clicks on a layer
2016/02/23	11:02:30	282	Update layer information
2016/02/23	11:02:30	282	User clicks on a layer
2016/02/23	11:02:36	282	User clicks on a layer
2016/02/23	11:02:38	282	Update layer information
2016/02/23	11:02:39	282	User clicks on a layer
2016/02/23	11:02:41	282	User clicks on a layer
2016/02/23	11:02:50	282	Update layer information
2016/02/23	11:02:50	282	User clicks on a layer
2016/02/23	11:02:55	282	User logout
2016/02/23	11:48:52	282	User login to application
2016/02/23	11:48:52	282	User opens initial screen
2016/02/23	11:48:53	282	User clicks on a layer
2016/02/23	11:49:00	282	User clicks on a layer
2016/02/23	11:49:09	282	User selects mode ALL and open form to create new a fertilizer map
2016/02/23	11:49:09	282	User clicks on a layer
2016/02/23	11:49:18	282	Specify condition to create fertilizer map
2016/02/23	11:52:37	282	User logout
2016/02/23	11:57:41	282	User login to application
2016/02/23	11:57:42	282	User opens initial screen
2016/02/23	11:57:47	282	User clicks on a layer
2016/02/23	11:58:10	282	User clicks on a layer
2016/02/23	11:58:11	282	User opens initial screen
2016/02/23	11:58:13	282	User selects mode ALL and open form to create new a fertilizer map
2016/02/23	11:58:25	282	Specify condition to create fertilizer map
2016/02/23	11:58:29	282	Open specified screen to create conditions for fertilizer map 
2016/02/23	12:01:41	282	Create new a layer
2016/02/23	12:01:41	282	Specify condition to create fertilizer map
2016/02/23	12:01:51	282	User clicks on a layer
2016/02/23	12:01:54	282	User opens initial screen
2016/02/23	12:05:49	282	User clicks on a layer
2016/02/23	12:06:07	282	User clicks on a layer
2016/02/23	12:06:10	282	User selects mode ALL and open form to create new a fertilizer map
2016/02/23	12:06:22	282	Specify condition to create fertilizer map
2016/02/23	12:07:58	282	User login to application
2016/02/23	12:07:58	282	User opens initial screen
2016/02/23	12:07:59	282	User clicks on a layer
2016/02/23	12:13:36	282	User opens initial screen
2016/02/23	12:13:49	282	User clicks on a layer
2016/02/23	12:14:01	282	User selects mode ALL and open form to create new a fertilizer map
2016/02/23	12:14:01	282	User clicks on a layer
2016/02/23	12:14:12	282	Specify condition to create fertilizer map
