年月日	時刻	ユーザコード	処理内容
2016/02/17	11:07:27	7	User login to application
2016/02/17	11:07:27	7	User opens initial screen
2016/02/17	11:07:55	7	User clicks on a layer
2016/02/17	11:07:56	7	User clicks on a layer
2016/02/17	11:08:11	7	User clicks on a layer
2016/02/17	11:08:13	7	User clicks on a layer
2016/02/17	11:08:14	7	User clicks on a layer
2016/02/17	11:08:15	7	User clicks on a layer
2016/02/17	11:08:16	7	User clicks on a layer
2016/02/17	11:08:19	7	User clicks on a layer
2016/02/17	11:08:21	7	User clicks on a layer
2016/02/17	11:08:22	7	User clicks on a layer
2016/02/17	11:08:23	7	User clicks on a layer
2016/02/17	11:08:28	7	User clicks on a layer
2016/02/17	11:09:25	7	User clicks on a layer
2016/02/17	11:09:26	7	User clicks on a layer
2016/02/17	11:09:28	7	User clicks on a layer
2016/02/17	11:09:29	7	User clicks on a layer
2016/02/17	11:09:32	7	User clicks on a layer
2016/02/17	11:09:36	7	User clicks on a layer
2016/02/17	11:09:38	7	User clicks on a layer
2016/02/17	11:09:39	7	User clicks on a layer
2016/02/17	11:09:41	7	User clicks on a layer
2016/02/17	11:09:42	7	User clicks on a layer
2016/02/17	11:09:43	7	User clicks on a layer
2016/02/17	11:09:44	7	User clicks on a layer
2016/02/17	11:09:45	7	User clicks on a layer
2016/02/17	13:04:10	7	User opens initial screen
2016/02/17	13:04:11	7	User clicks on a layer
2016/02/17	13:04:20	7	User clicks on a layer
2016/02/17	13:04:23	7	User clicks on a layer
2016/02/17	13:04:25	7	User clicks on a layer
2016/02/17	18:49:11	279	User login to application
2016/02/17	18:49:15	279	User agrees with term of use
2016/02/17	18:49:15	279	User opens initial screen
