年月日	時刻	ユーザコード	処理内容
2016/03/02	16:31:13	7	User login to application
2016/03/02	16:31:13	7	User opens initial screen
2016/03/02	16:31:14	7	User clicks on a layer
2016/03/02	16:32:12	7	User clicks on a layer
2016/03/02	16:32:13	7	User clicks on a layer
2016/03/02	16:32:22	7	Update folder information or set permission for folder
2016/03/02	16:32:24	7	User clicks on a layer
2016/03/02	16:32:25	7	User clicks on a layer
2016/03/02	16:32:26	7	User clicks on a layer
2016/03/02	16:32:32	7	User clicks on a layer
2016/03/02	16:32:33	7	User clicks on a layer
2016/03/02	16:32:34	7	User clicks on a layer
2016/03/02	16:32:36	7	User clicks on a layer
2016/03/02	16:32:37	7	User clicks on a layer
2016/03/02	16:32:41	7	User clicks on a layer
2016/03/02	16:32:45	7	Update layer information
2016/03/02	16:32:47	7	User clicks on a layer
2016/03/02	16:32:48	7	User clicks on a layer
2016/03/02	16:32:50	7	User clicks on a layer
2016/03/02	16:35:22	7	Update layer information
2016/03/02	16:35:23	7	User clicks on a layer
2016/03/02	16:35:24	7	User clicks on a layer
2016/03/02	16:35:27	7	User clicks on a layer
2016/03/02	16:35:28	7	User clicks on a layer
2016/03/02	16:35:29	7	User clicks on a layer
2016/03/02	16:35:32	7	Update layer information
2016/03/02	16:35:32	7	User clicks on a layer
2016/03/02	16:35:35	7	User clicks on a layer
2016/03/02	16:35:39	7	Update layer information
2016/03/02	16:35:39	7	User clicks on a layer
2016/03/02	16:35:42	7	Update layer information
2016/03/02	16:35:42	7	User clicks on a layer
2016/03/02	16:35:46	7	Update layer information
2016/03/02	16:35:47	7	User clicks on a layer
2016/03/02	16:35:52	7	User clicks on a layer
2016/03/02	16:35:54	7	Update layer information
2016/03/02	16:35:55	7	User clicks on a layer
2016/03/02	16:35:57	7	User clicks on a layer
2016/03/02	16:35:58	7	User clicks on a layer
2016/03/02	16:36:07	7	User clicks on a layer
2016/03/02	16:36:09	7	User clicks on a layer
2016/03/02	16:36:11	7	User clicks on a layer
2016/03/02	16:36:15	7	User clicks on a layer
2016/03/02	16:36:18	7	User clicks on a layer
2016/03/02	16:36:20	7	User clicks on a layer
2016/03/02	16:36:28	7	User clicks on a layer
2016/03/02	16:36:29	7	User clicks on a layer
2016/03/02	16:36:31	7	User clicks on a layer
2016/03/02	16:36:33	7	User clicks on a layer
2016/03/02	16:36:35	7	User clicks on a layer
2016/03/02	16:36:37	7	User clicks on a layer
2016/03/02	16:36:38	7	User clicks on a layer
2016/03/02	16:36:40	7	User clicks on a layer
2016/03/02	16:36:41	7	User clicks on a layer
2016/03/02	16:36:43	7	User clicks on a layer
2016/03/02	16:36:45	7	User clicks on a layer
2016/03/02	16:36:47	7	User clicks on a layer
2016/03/02	16:36:49	7	User clicks on a layer
2016/03/02	16:36:56	7	User clicks on a layer
2016/03/02	16:36:59	7	User clicks on a layer
2016/03/02	16:37:01	7	User clicks on a layer
2016/03/02	16:37:04	7	User clicks on a layer
2016/03/02	16:37:06	7	User clicks on a layer
2016/03/02	16:37:08	7	User clicks on a layer
2016/03/02	16:37:10	7	User clicks on a layer
2016/03/02	16:37:12	7	User clicks on a layer
2016/03/02	16:37:14	7	User clicks on a layer
2016/03/02	16:37:15	7	User clicks on a layer
2016/03/02	16:37:17	7	User clicks on a layer
2016/03/02	16:37:18	7	User clicks on a layer
2016/03/02	16:37:20	7	User clicks on a layer
2016/03/02	16:37:24	7	User clicks on a layer
2016/03/02	16:37:26	7	User clicks on a layer
2016/03/02	16:37:38	7	User clicks on a layer
2016/03/02	16:37:39	7	User clicks on a layer
2016/03/02	16:37:40	7	User clicks on a layer
2016/03/02	16:37:41	7	User clicks on a layer
2016/03/02	16:37:43	7	User clicks on a layer
2016/03/02	18:03:13	NULL	User doesn't agree with term of use
2016/03/02	18:03:13	158	Guest login to application
2016/03/02	18:03:15	158	User agrees with term of use
2016/03/02	18:03:15	158	User opens initial screen
2016/03/02	18:03:20	158	User opens initial screen
2016/03/02	18:03:35	158	User opens initial screen
2016/03/02	18:03:40	158	User logout
