年月日	時刻	ユーザコード	処理内容
2016/03/10	09:19:36	7	User login to application
2016/03/10	09:19:36	7	User opens initial screen
2016/03/10	09:19:38	7	User clicks on a layer
2016/03/10	09:21:03	7	User opens initial screen
2016/03/10	09:21:04	7	User clicks on a layer
2016/03/10	09:21:15	7	User opens initial screen
2016/03/10	09:21:15	7	User clicks on a layer
2016/03/10	09:21:55	7	User opens initial screen
2016/03/10	09:21:56	7	User clicks on a layer
2016/03/10	09:22:07	7	User clicks on a layer
2016/03/10	09:22:08	7	User clicks on a layer
2016/03/10	09:22:10	7	User clicks on a layer
2016/03/10	09:22:25	7	User clicks on a layer
2016/03/10	09:22:27	7	User clicks on a layer
2016/03/10	09:22:33	7	User clicks on a layer
2016/03/10	09:22:34	7	User clicks on a layer
2016/03/10	09:22:35	7	User clicks on a layer
2016/03/10	09:22:38	7	User clicks on a layer
2016/03/10	09:22:43	7	Delete fertility map
2016/03/10	09:22:44	7	User clicks on a layer
2016/03/10	09:22:50	7	Delete fertility map
2016/03/10	09:22:51	7	User clicks on a layer
2016/03/10	09:23:00	7	Delete fertility map
2016/03/10	09:23:16	7	Administrator deletes an user
2016/03/10	09:57:11	7	Administrator updates an user
